facility,"vendor_category","vendor_reference_location"
C10K_IEDGE,"Cisco 10000 iEdge","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C10K_LFI_GENERAL,"Cisco 10000 Link Fragmentation and Interleaving","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C10K_MULTILINK_FRAGSIZE_BELOW_MIN_WARNING,"Cisco 10000 PXF Multilink fragment size below minimum warning","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C10K_QOS_GENERAL,"Cisco 10000 Quality of Service (QoS)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C10K_QUEUE_CFG_GENERAL,"Cisco 10000 PXF queuing configuration","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C10K_TOASTER,"Cisco 10000 toaster","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C1400_PCI,"Protocol control information (PCI) bus for Cisco 1400 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C1600,"Cisco 1600 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C1700,"Cisco 1700 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C1700_EM,"Cisco 1700 VPN module hardware accelerator for IP security","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C1800,"Cisco 1800 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C1800_HW_CRYPTO,"Cisco 1800, Cisco 1810 Motorola SEC 2.0","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C2400_DSX1,"Cisco 2400 DSX1 subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C2600,"Cisco 2600 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C2600_MAINBOARD_ASYNC_PQUICC,"MPC860 quad integrated communications controller for the Cisco 2600 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C2950,"Catalyst 2950 series switch","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C29ATM,"Catalyst 2900XL ATM module","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C2KATM,"Catalyst 2820 ATM module","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C3200_FE,"Cisco 3200 FEC","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C3600,"Cisco 3600 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C3800,"Cisco 3800 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C3800_ENVM,"Environmental","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C3825,"Cisco 3825 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C4GWY_DSPRM,"DSP Resource Manager","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C4K,"Catalyst 4000 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C542,"Voice driver for modular access routers","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C5421,"Voice over IP","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C54x,"VoIP DSP driver","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C54X,"VoIP driver","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C5510,"Voice Over IP (VoIP) driver","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C5RSP,"Cisco Catalyst 5000 platform","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C6KENV,"Cisco Catalyst 6500 environmental system","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C6K_MWAM_CENTRALIZED_CONFIG,"Multiprocessor WAN Application Module (MWAM) centralized configuration","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C6KPWR,"Cisco Catalyst 6500 power control system","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C6MSFC,"C6MSFC (Draco)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C6SUP,"C6SUP-specific","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7200,"Cisco 7200 platform - deleted for 12.2","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7200_TDM,"Cisco 7200 midplane TDM bus","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7600_RSP,"Cisco 7600 Route Switch Processor","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7600_SIP200,"SPA Interface Processor 200","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7600_SIP200_MP,"Cisco 7600, Catalyst 6500 SIP-200 Multiprocessing","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7600_SIP200_SPIRX,"Cisco 7600, Catalyst 6500 SIP-200 SPI4.2 bus ingress interface","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
